,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_reg_alpha,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,251.451999903,1.48440008163,0.874302709993,0.945407112534,0.4,0.002,19,50,2,0.6,"{'reg_alpha': 2, 'colsample_bytree': 0.4, 'learning_rate': 0.002, 'n_estimators': 50, 'subsample': 0.6, 'max_depth': 19}",5,0.874064851095,0.945970096655,0.883908198686,0.944277209707,0.882539990228,0.944822794993,0.861938558445,0.946911129585,0.869061855013,0.94505433173,28.9557669395,0.0667671333653,0.00825243679417,0.000929685978408
1,103.814399958,1.40399999619,0.869247492488,0.931286814926,0.2,0.002,15,50,3,0.8,"{'reg_alpha': 3, 'colsample_bytree': 0.2, 'learning_rate': 0.002, 'n_estimators': 50, 'subsample': 0.8, 'max_depth': 15}",18,0.870847550563,0.932740755462,0.878144094735,0.929140757457,0.87439887078,0.9289259657,0.862250756197,0.931244471719,0.860596087525,0.934382124292,1.48947201594,0.0273350085917,0.00681244877064,0.00209169059995
2,199.153800058,1.52319998741,0.872288114152,0.953687369357,0.3,0.002,21,50,2,0.8,"{'reg_alpha': 2, 'colsample_bytree': 0.3, 'learning_rate': 0.002, 'n_estimators': 50, 'subsample': 0.8, 'max_depth': 21}",13,0.871949779554,0.954236980282,0.88136580438,0.951363381402,0.881487440955,0.952328445187,0.862372702052,0.955174263296,0.864264734157,0.95533377662,3.09758477298,0.0316569570456,0.00812202492345,0.00157931488606
3,144.201599979,1.4259999752,0.874192201162,0.936776068334,0.3,0.005,15,50,3,0.8,"{'reg_alpha': 3, 'colsample_bytree': 0.3, 'learning_rate': 0.005, 'n_estimators': 50, 'subsample': 0.8, 'max_depth': 15}",6,0.875378870374,0.936726499751,0.881445614584,0.933387769583,0.883471085095,0.935303446775,0.862787531003,0.93913963164,0.867877803239,0.939322993921,1.72290238348,0.0328937515332,0.00787471776336,0.00226825488754
4,124.453000116,1.36399998665,0.873044598476,0.923785490442,0.3,0.002,13,50,3,0.8,"{'reg_alpha': 3, 'colsample_bytree': 0.3, 'learning_rate': 0.002, 'n_estimators': 50, 'subsample': 0.8, 'max_depth': 13}",10,0.873799660513,0.923551199913,0.880097481796,0.921148908396,0.882776470626,0.921745747181,0.861982194343,0.924724621273,0.866567083658,0.927756975446,1.64494709415,0.0208037957031,0.00786584405419,0.00235888403111
5,117.698800039,1.46199998856,0.86983628725,0.949423456174,0.2,0.005,17,50,2,0.8,"{'reg_alpha': 2, 'colsample_bytree': 0.2, 'learning_rate': 0.005, 'n_estimators': 50, 'subsample': 0.8, 'max_depth': 17}",17,0.870212250713,0.950132811154,0.877929604327,0.946750430978,0.875824661706,0.948390311884,0.863157334625,0.94980250126,0.862057490953,0.952041225591,1.78421745059,0.0187936721015,0.00642840046225,0.00177268311937
6,90.9631999493,1.39500002861,0.871935776671,0.936872711644,0.2,0.01,13,50,2,0.8,"{'reg_alpha': 2, 'colsample_bytree': 0.2, 'learning_rate': 0.01, 'n_estimators': 50, 'subsample': 0.8, 'max_depth': 13}",14,0.872737845309,0.937252306485,0.879854924972,0.933068578353,0.878860408959,0.935694065825,0.864518175641,0.937882600673,0.86370742763,0.940466006883,0.882270172579,0.0184932836767,0.00684153605508,0.00244689087737
7,142.4447999,1.51440005302,0.868257555434,0.955892562173,0.2,0.01,21,50,2,0.6,"{'reg_alpha': 2, 'colsample_bytree': 0.2, 'learning_rate': 0.01, 'n_estimators': 50, 'subsample': 0.6, 'max_depth': 21}",19,0.872322638343,0.956932220042,0.873971441492,0.95418157482,0.875256472702,0.95513608339,0.861475875896,0.95532698764,0.858261235648,0.957885944972,1.97254652559,0.0223928530464,0.00698677898098,0.00133222189548
8,144.193400049,1.42319993973,0.875080511376,0.942111404086,0.3,0.01,15,50,3,0.8,"{'reg_alpha': 3, 'colsample_bytree': 0.3, 'learning_rate': 0.01, 'n_estimators': 50, 'subsample': 0.8, 'max_depth': 15}",3,0.875760377571,0.942039389273,0.881589888006,0.939287732092,0.883993683926,0.941519108069,0.865244791691,0.944553626549,0.8688137212,0.943157164448,2.22597909934,0.0247499100163,0.00718738898494,0.00175426278129
9,162.442999983,1.43819999695,0.872544122981,0.937413239736,0.3,0.005,17,50,3,0.6,"{'reg_alpha': 3, 'colsample_bytree': 0.3, 'learning_rate': 0.005, 'n_estimators': 50, 'subsample': 0.6, 'max_depth': 17}",12,0.873868068157,0.937946808742,0.882138742367,0.93492617398,0.881459644705,0.935831116552,0.86191972546,0.940184902222,0.863334311536,0.938177197183,3.46450810714,0.0245796517985,0.00861387573678,0.00185682792117
